Employee_No,Employee_Code,Name,Title,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth,onTimeIN,onTimeOUT,Net Salary,Type_Full Day,Type_Half Day,apply_type_Anual,apply_type_Casual
902,5071,Ms Elta Hoeger III,Mr.,Male,1,Married,31,2020-02-19,2022-03-30 00:00:00,Inactive,2022-03-30 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1989,199.0,196.0,53439.18333333333,,,,
905,5076,Isabelle Turner,Mr.,Male,1,Married,31,2020-02-21,2022-03-14 00:00:00,Inactive,2022-03-14 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1975,155.0,153.0,46709.67272727273,,,,
906,5072,Dave Bernhard,Mr.,Male,1,Married,31,2020-02-19,2022-03-02 00:00:00,Inactive,2022-03-02 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1985,177.0,177.0,49263.93333333333,,,,
907,197020,Kacie Rippin PhD,Mr.,Male,1,Married,134,2020-02-05,2021-03-31 00:00:00,Inactive,2021-03-31 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Caretaker,1964,30.0,30.0,0.0,,,,
908,4975,Prof Oswaldo Collins,Mr.,Male,1,Married,30,2020-06-01,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,1984,395.0,407.0,65982.08,,,,
910,4979,Sheila Toy,Mr.,Male,1,Married,31,2020-06-01,2021-01-07 00:00:00,Inactive,2021-01-07 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1981,,,42197.100000000006,,,,
918,4984,Kameron Hilpert,Mr.,Male,1,Married,31,2020-06-01,2021-10-30 00:00:00,Inactive,2021-10-30 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1984,114.0,141.0,55678.91428571429,,,,
921,4985,Mrs Meagan Jenkins,Mr.,Male,1,Married,1,2020-06-01,2022-04-06 00:00:00,Inactive,2022-04-06 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,1982,122.0,169.0,47607.71666666667,,,,
923,1885,Ms Margarita Vandervort IV,Mr.,Male,1,Married,7,2014-02-20,2021-08-31 00:00:00,Inactive,2021-08-31 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Store Keeper,1970,172.0,183.0,83184.82,,,,
924,3881,Eliezer Schaden,Mr.,Male,5,Single,33,2018-05-08,2020-06-22 00:00:00,Inactive,2020-06-22 00:00:00,\N,\N,Staff,Contarct Basis,Muslim,Site Engineer,1993,,,,,,,
925,4531,Flo Nienow,Mr.,Male,5,Married,22,2019-02-01,\N,Active,\N,\N,\N,Staff,Contarct Basis,Muslim,Technical Officer,1977,474.0,504.0,124752.57411764703,,,,
926,198047,Mrs Kiarra Hickle,Mr.,Male,1,Married,55,2020-08-24,2020-09-30 00:00:00,Inactive,2020-09-30 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Fitter,1977,,,,,,,
928,183008,Kevin Dooley,Mr.,Male,1,Married,31,2020-01-02,2020-07-29 00:00:00,Inactive,2020-07-29 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1975,,,0.0,,,,
929,4039,Prof Esther Bradtke MD,Mr.,Male,1,Married,31,2019-01-01,2020-09-10 00:00:00,Inactive,2020-09-10 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1970,8.0,8.0,,,,,
930,4170,Prof Cody Monahan,Mr.,Male,1,Single,1,2019-01-01,2020-12-31 00:00:00,Inactive,2020-12-31 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,1996,,,,,,,
932,4565,Prof Oscar Shields,Mr.,Male,1,Married,31,2019-01-01,2021-04-09 00:00:00,Inactive,2021-04-09 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1970,32.0,31.0,63172.93333333333,,,,
933,4693,Ferne Beier V,Mr.,Male,1,Married,31,2019-04-03,2021-04-09 00:00:00,Inactive,2021-04-09 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1977,19.0,19.0,42209.53333333333,,,,
934,4474,Mr Keshawn DuBuque,Mr.,Male,1,Married,31,2019-01-01,2021-04-09 00:00:00,Inactive,2021-04-09 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1960,32.0,32.0,37894.06666666667,,,,
939,70030,Rasheed Abshire,Mr.,Male,1,Married,31,2019-07-01,2020-03-06 00:00:00,Inactive,2020-03-06 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1970,,,,,,,
940,4950,Mr Michael Cassin,Mr.,Male,1,Single,70,2020-02-17,2020-08-17 00:00:00,Inactive,2020-08-17 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Data Entry Operator,1997,,,,,,,
941,4951,Hardy Casper,Ms.,Female,1,Single,2,2020-02-12,2022-07-31 00:00:00,Inactive,2022-07-31 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Secretary,1993,275.0,232.0,69920.8375,,,,
942,4953,Lilliana Wisozk,Mr.,Male,1,Single,48,2020-02-24,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Draughtsman,1994,189.0,333.0,76042.27705882353,,,,
943,4954,Mr Cameron McCullough,Mr.,Male,1,Single,88,2020-03-02,2021-04-27 00:00:00,Inactive,2021-04-27 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Trainee QS,1997,33.0,28.0,,,,,
944,4955,Louie Hackett,Mr.,Male,1,Single,48,2020-03-02,2020-08-31 00:00:00,Inactive,2020-08-31 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Draughtsman,1989,,,,,,,
945,4956,Ernest Effertz,Mr.,Male,1,Married,6,2020-02-24,\N,Active,\N,945,\N,Staff,Contarct Basis,Buddhist,Project Manager,1964,411.0,425.0,329240.6864705882,,,,
947,4959,Edmond Schulist,Mr.,Male,1,Married,107,2020-03-06,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Social Environment Officer,1962,465.0,463.0,191093.33375,,,,
948,4960,Genevieve Hahn,Mr.,Male,1,Single,8,2020-03-16,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1988,503.0,512.0,165929.27705882353,,,,
949,4948,Sunny Heller,Mr.,Male,1,Married,8,2020-02-12,2020-09-21 00:00:00,Inactive,2020-09-21 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1988,,,,,,,
