Employee_No,Employee_Code,Name,Title,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth,onTimeIN,onTimeOUT,Net Salary,Type_Full Day,Type_Half Day,apply_type_Anual,apply_type_Casual
1436,5119,Ignacio Mohr,Mr.,Male,5,Married,36,2020-12-19,\N,Active,\N,945,\N,Staff,Contarct Basis,Muslim,Engineer Assistant,1983,412.0,464.0,178139.7423529412,,,,
1437,50029,Elvie Reynolds,Ms.,Female,1,Married,120,2020-10-02,2021-03-31 00:00:00,Inactive,2021-03-31 00:00:00,\N,\N,Management,Contarct Basis,Buddhist,HR Manager,1976,3.0,20.0,,,,,
1439,5120,Houston Pagac,Mr.,Male,3,Single,33,2020-12-28,2021-07-31 00:00:00,Inactive,2021-07-31 00:00:00,\N,\N,Staff,Contarct Basis,Hindu,Site Engineer,1995,90.0,99.0,141523.39,,,,
1440,5121,Ariel Wolff,Mr.,Male,1,Single,89,2021-01-06,2021-08-16 00:00:00,Inactive,2021-08-16 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Planning Engineer,1993,42.0,61.0,123097.9,,,,
1441,5123,Miss Fleta Rowe I,Mr.,Male,1,Single,22,2021-01-07,2021-05-31 00:00:00,Inactive,2021-05-31 00:00:00,1538,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1991,27.0,31.0,,,,,
1443,5124,Dane Jones,Mr.,Male,1,Single,8,2021-01-11,2021-04-24 00:00:00,Inactive,2021-04-24 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1985,43.0,46.0,,,,,
1445,5125,Clarabelle Lemke II,Mr.,Male,1,Married,17,2021-01-15,2021-01-19 00:00:00,Inactive,2021-01-19 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Account Executive,1986,,,,,,,
1446,5126,Mrs Celestine Cartwright IV,Mr.,Male,3,Single,22,2021-01-15,2021-12-31 00:00:00,Inactive,2021-12-31 00:00:00,\N,\N,Staff,Contarct Basis,Hindu,Technical Officer,1989,142.0,257.0,145459.0,,,,
1538,5135,Estel Hahn,Mr.,Male,1,Married,6,2021-01-25,2022-02-28 00:00:00,Inactive,2022-02-28 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Project Manager,1964,211.0,221.0,694615.0,,,,
1539,51008,Reagan Marquardt,Mr.,Male,1,Married,153,2021-02-01,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Store Labour,1994,309.0,380.0,9601.143636363637,,,,
1543,5137,Dr Alexie Simonis,Mr.,Male,1,Single,17,2021-02-05,2021-07-31 00:00:00,Inactive,2021-07-31 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Account Executive,1994,57.0,69.0,102575.0,,,,
1619,5154,Erin Grimes,Mr.,Male,3,Single,36,2021-02-20,2021-06-22 00:00:00,Inactive,2021-06-22 00:00:00,\N,\N,Staff,Contarct Basis,Hindu,Engineer Assistant,1994,69.0,74.0,,,,,
1625,5153,Ava Okuneva,Mr.,Male,1,Married,66,2021-02-16,2021-08-15 00:00:00,Inactive,2021-08-15 00:00:00,\N,\N,Management,Contarct Basis,Buddhist,HR & Admin Officer,1975,38.0,68.0,0.0,,,,
1629,5155,Zola Lind Jr,Mr.,Male,1,Married,78,2021-03-11,2021-07-21 00:00:00,Inactive,2021-07-21 00:00:00,\N,\N,Management,Contarct Basis,Buddhist,Assistant Accountant,1990,31.0,54.0,0.0,,,,
1630,5207,Dr Sid Rutherford,Mr.,Male,3,Single,7,2021-03-12,2022-04-01 00:00:00,Inactive,2022-04-01 00:00:00,\N,\N,Staff,Contarct Basis,Hindu,Store Keeper,1996,279.0,311.0,108712.47,,,,
1636,179028,Christy Gleichner,Mr.,Male,1,Married,122,2021-02-04,2022-06-30 00:00:00,Inactive,2022-06-30 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Security,1980,6.0,8.0,116004.24,,,,
1637,189051,Devin Osinski,Mr.,Male,1,Single,55,2021-02-01,2021-10-31 00:00:00,Inactive,2021-10-31 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Fitter,1997,152.0,152.0,80435.688,,,,
1644,179030,Wyman Bashirian,Mr.,Male,1,Married,134,2021-03-12,2022-04-19 00:00:00,Inactive,2022-04-19 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Caretaker,1952,212.0,5.0,31275.0,,,,
1657,5208,Marques Prohaska,Mr.,Male,1,Married,48,2021-03-22,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Draughtsman,1978,235.0,326.0,181238.6905555556,34.0,8.0,16.0,26.0
1683,5211,Prof Nona Mante,Mr.,Male,1,Single,108,2021-04-02,2022-06-25 00:00:00,Inactive,2022-06-25 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,QAQC Engineer,1990,181.0,170.0,253559.75,,,,
1685,5212,Vita Lind MD,Mr.,Male,1,Married,22,2021-04-05,\N,Active,\N,2631,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1987,139.0,417.0,216243.0583333333,,,,
1715,5253,Lamont Leffler,Mr.,Male,1,Married,104,2021-04-19,2021-08-25 00:00:00,Inactive,2021-08-25 00:00:00,\N,\N,Management,Contarct Basis,Buddhist,Accountant,1989,9.0,57.0,0.0,1.0,0.0,0.0,1.0
1716,5254,Angeline Turcotte,Mr.,Male,1,Single,9,2021-04-19,2021-08-12 00:00:00,Inactive,2021-08-12 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Assistance QS,1995,69.0,73.0,66280.81,,,,
1738,198100,Ms Eugenia Yost V,Mr.,Male,1,Married,1,2021-04-24,2021-10-31 00:00:00,Inactive,2021-10-31 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,1964,80.0,77.0,47184.05,,,,
1739,5256,Lukas Walter,Mr.,Male,1,Married,162,2021-04-20,2021-12-10 00:00:00,Inactive,2021-12-10 00:00:00,1739,\N,Management,Contarct Basis,Buddhist,Chief Project Officer,1970,81.0,81.0,546072.22,,,,
1740,5258,Treva Hoppe,Mr.,Male,1,Married,163,2021-04-27,2021-08-19 00:00:00,Inactive,2021-08-19 00:00:00,\N,\N,Management,Contarct Basis,Buddhist,Manager Transport and Logistic,1975,53.0,51.0,0.0,,,,
1741,5259,Mrs Mallie Torp IV,Ms.,Female,1,Single,161,2021-04-27,2021-08-31 00:00:00,Inactive,2021-08-31 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,QS Contract,1992,4.0,26.0,104307.26,,,,
1760,5275,Prof Maxine Becker II,Mr.,Male,1,Married,27,2021-05-11,2022-01-31 00:00:00,Inactive,2022-01-31 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Supervisor,1969,181.0,166.0,93586.665,,,,
1761,5276,Murphy O'Hara,Mr.,Male,1,Married,27,2021-05-11,2021-08-14 00:00:00,Inactive,2021-08-14 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Supervisor,1963,60.0,66.0,79555.645,,,,
1771,198110,Mr Cesar Powlowski II,Mr.,Male,1,Married,31,2021-05-14,2022-11-21 00:00:00,Inactive,2022-11-21 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1981,317.0,411.0,79631.70705882354,,,,
1772,200033,Nels Schulist,Mr.,Male,3,Married,30,2021-05-03,2021-10-31 00:00:00,Inactive,2021-10-31 00:00:00,\N,\N,Labour,Contarct Basis,Hindu,Semi Skilled Labor,1954,77.0,76.0,60159.16666666666,,,,
1773,200034,Fidel Muller,Mr.,Male,3,Married,30,2021-05-05,2021-10-31 00:00:00,Inactive,2021-10-31 00:00:00,\N,\N,Labour,Contarct Basis,Hindu,Semi Skilled Labor,1992,86.0,88.0,59265.0,,,,
1784,196113,Carol Mertz MD,Mr.,Male,1,Married,43,2021-05-18,2022-03-12 00:00:00,Inactive,2022-03-12 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Operator - JCB,1980,190.0,183.0,59631.66666666666,,,,
1800,5278,Prof Bethel Lemke,Mr.,Male,5,Married,8,2021-05-17,2022-12-17 00:00:00,Inactive,2022-12-17 00:00:00,\N,\N,Staff,Contarct Basis,Muslim,Quantity Surveyor,1993,333.0,398.0,138473.82352941178,,,,
1803,200021,Duncan Waters,Mr.,Male,3,Married,122,2021-02-06,\N,Active,\N,\N,\N,Labour,Contarct Basis,Hindu,Security,1980,238.0,238.0,37718.333333333336,,,,
1804,200022,Miss Jeanne Schoen,Mr.,Male,3,Married,122,2021-02-06,\N,Active,\N,\N,\N,Labour,Contarct Basis,Hindu,Security,1980,68.0,69.0,40850.0,,,,
1814,1795001,Dr Ryann Feest PhD,Mr.,Male,1,Married,122,2021-05-21,2022-07-26 00:00:00,Inactive,2022-07-26 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Security,1978,236.0,263.0,79728.95866666666,,,,
1815,1795002,Myriam Buckridge,Mr.,Male,1,Married,122,2021-05-21,2022-11-28 00:00:00,Inactive,2022-11-28 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Security,1979,171.0,340.0,98450.48736842105,,,,
1816,1795003,Emelie Langworth,Mr.,Male,1,Married,24,2021-05-13,2022-04-08 00:00:00,Inactive,2022-04-08 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Driver,1968,257.0,261.0,62394.98,,,,
1820,198112,Miss Libbie Reinger,Mr.,Male,1,Married,122,2021-05-24,2022-05-06 00:00:00,Inactive,2022-05-06 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Security,1992,141.0,202.0,90028.6909090909,,,,
1822,193141,Jodie Satterfield,Mr.,Male,1,Married,55,2021-06-02,2022-03-26 00:00:00,Inactive,2022-03-26 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Fitter,1975,123.0,118.0,71516.42857142857,,,,
1825,193144,Antonetta Wyman,Mr.,Male,1,Married,31,2021-06-02,2021-10-31 00:00:00,Inactive,2021-10-31 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1959,75.0,76.0,49516.66666666666,,,,
1827,1795005,Dr Serena Trantow,Mr.,Male,1,Married,31,2021-06-01,2021-12-31 00:00:00,Inactive,2021-12-31 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976,115.0,109.0,50883.57142857143,,,,
1833,179033,Ms Delores Towne DDS,Mr.,Male,1,Married,29,2021-06-01,2022-07-23 00:00:00,Inactive,2022-07-23 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Cook,1976,212.0,377.0,59266.32166666666,,,,
1834,5279,Adonis Trantow MD,Mr.,Male,3,Single,33,2021-06-05,2022-01-17 00:00:00,Inactive,2022-01-17 00:00:00,1834,\N,Staff,Contarct Basis,Hindu,Site Engineer,1994,128.0,158.0,200142.71,,,,
1844,1795014,Jefferey Torp,Mr.,Male,1,Married,31,2021-06-10,2022-04-02 00:00:00,Inactive,2022-04-02 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1983,225.0,220.0,63880.90909090909,,,,
1846,1795016,Mr Erik Bruen PhD,Mr.,Male,1,Married,4,2021-06-10,2021-12-31 00:00:00,Inactive,2021-12-31 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Bar Bender,1958,128.0,116.0,55887.142857142855,,,,
1849,193146,Elissa Krajcik,Mr.,Male,1,Married,31,2021-06-08,2022-04-11 00:00:00,Inactive,2022-04-11 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1987,98.0,97.0,27968.75,,,,
1850,1795018,Donnie Bergstrom,Mr.,Male,1,Married,31,2021-06-14,2022-04-01 00:00:00,Inactive,2022-04-01 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1978,220.0,211.0,62400.90909090909,,,,
1852,1795020,Marina Reichert III,Mr.,Male,1,Married,124,2021-06-14,2022-04-08 00:00:00,Inactive,2022-04-08 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1977,202.0,195.0,83213.63636363637,,,,
1854,1795022,Chesley Morissette,Mr.,Male,1,Married,124,2021-06-14,2022-04-08 00:00:00,Inactive,2022-04-08 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1969,194.0,183.0,78948.18181818182,,,,
1855,1795023,Mrs Sally Spencer,Mr.,Male,1,Married,31,2021-06-15,2022-04-11 00:00:00,Inactive,2022-04-11 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1981,254.0,249.0,70661.81818181818,,,,
1857,196115,Prof Christop West IV,Mr.,Male,1,Single,31,2021-06-01,2022-02-15 00:00:00,Inactive,2022-02-15 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,2003,140.0,131.0,38015.71428571428,,,,
1860,196118,Dixie Gleason,Mr.,Male,1,Single,31,2021-06-02,2022-04-09 00:00:00,Inactive,2022-04-09 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,2002,210.0,206.0,51596.04444444445,,,,
1861,196119,Mrs Emely Oberbrunner DVM,Mr.,Male,1,Single,31,2021-06-02,2022-01-03 00:00:00,Inactive,2022-01-03 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,2002,157.0,148.0,51335.93333333333,,,,
1862,196120,Prof Viola Swaniawski,Mr.,Male,1,Married,31,2021-06-02,2022-06-16 00:00:00,Inactive,2022-06-16 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1994,243.0,224.0,53858.31999999999,,,,
1863,196121,Rollin Okuneva,Mr.,Male,1,Married,31,2021-06-03,2022-06-17 00:00:00,Inactive,2022-06-17 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1958,247.0,237.0,55426.74545454545,,,,
1865,196123,Stephania Greenholt,Mr.,Male,1,Married,31,2021-06-03,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1962,406.0,386.0,57259.23333333333,,,,
1867,196125,Vanessa Wuckert,Mr.,Male,1,Married,31,2021-06-05,2022-04-09 00:00:00,Inactive,2022-04-09 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1963,208.0,185.0,48101.24444444445,,,,
1873,196131,Gust Pagac,Mr.,Male,1,Married,30,2021-06-14,2021-12-31 00:00:00,Inactive,2021-12-31 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,1998,134.0,122.0,53054.804,,,,
1874,196132,Hulda Wolf,Mr.,Male,1,Single,31,2021-06-14,2022-02-23 00:00:00,Inactive,2022-02-23 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,2001,100.0,93.0,18702.685714285715,,,,
1878,196136,Miss Viola Collins DDS,Mr.,Male,1,Married,55,2021-06-14,2022-04-09 00:00:00,Inactive,2022-04-09 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Fitter,1998,214.0,216.0,73573.33333333333,,,,
1881,196138,Rhett Haley,Mr.,Male,1,Married,31,2021-06-15,2021-10-31 00:00:00,Inactive,2021-10-31 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1971,91.0,80.0,43528.066666666666,,,,
1886,1795024,Braxton Volkman,Mr.,Male,1,Married,31,2021-06-18,2022-04-30 00:00:00,Inactive,2022-04-30 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1968,220.0,202.0,58515.0,,,,
1890,1795026,Clotilde Boyer III,Mr.,Male,3,Married,31,2021-06-21,2022-03-30 00:00:00,Inactive,2022-03-30 00:00:00,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,1978,198.0,186.0,58940.5,,,,
1892,193145,Lelah Williamson,Mr.,Male,1,Married,31,2021-06-04,2022-03-30 00:00:00,Inactive,2022-03-30 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1962,120.0,115.0,42784.16666666666,,,,
1899,193156,Mr Lon Hackett,Mr.,Male,1,Married,80,2021-06-15,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Driver - cab,1965,367.0,361.0,56642.6705882353,,,,
1902,193159,Miss Clara Hessel I,Mr.,Male,1,Married,31,2021-06-17,2022-04-30 00:00:00,Inactive,2022-04-30 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1965,165.0,165.0,39615.0,,,,
1903,193160,Ms Nellie Bruen Jr,Mr.,Male,1,Married,55,2021-06-18,2022-06-04 00:00:00,Inactive,2022-06-04 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Fitter,1961,218.0,222.0,64419.545454545456,,,,
1904,193161,Estella Heidenreich Jr,Ms.,Female,1,Married,31,2021-06-23,2022-03-16 00:00:00,Inactive,2022-03-16 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1998,116.0,141.0,27801.957142857143,,,,
1906,193162,Emmitt Kling,Mr.,Male,1,Married,31,2021-06-07,2021-10-31 00:00:00,Inactive,2021-10-31 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1972,57.0,56.0,32100.0,,,,
1909,193164,Adan Schimmel,Mr.,Male,1,Married,31,2021-06-02,2022-03-31 00:00:00,Inactive,2022-03-31 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1962,132.0,128.0,44017.857142857145,,,,
1916,1795033,Miss Etha Hudson Sr,Mr.,Male,1,Married,31,2021-06-30,2022-03-26 00:00:00,Inactive,2022-03-26 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1967,162.0,148.0,49728.0,,,,
1917,1795034,Sage Lebsack,Mr.,Male,1,Married,31,2021-06-28,2022-04-01 00:00:00,Inactive,2022-04-01 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1983,175.0,165.0,49069.545454545456,,,,
1918,5285,Alverta Bode,Mr.,Male,1,Married,90,2021-06-18,2022-02-28 00:00:00,Inactive,2022-02-28 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Assistant manager - HR,1990,121.0,153.0,196731.94375,4.0,2.0,0.0,6.0
1920,1795036,Cordelia Vandervort IV,Mr.,Male,1,Married,124,2021-06-28,2022-04-07 00:00:00,Inactive,2022-04-07 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1974,197.0,185.0,88133.0,,,,
1926,179034,Kayley Bosco,Mr.,Male,1,Married,31,2021-07-01,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1959,443.0,365.0,70347.725,,,,
1931,5286,Micheal Reichel,Mr.,Male,1,Single,33,2021-06-29,\N,Active,\N,1964,\N,Staff,Contarct Basis,Buddhist,Site Engineer,1994,129.0,406.0,184682.12,,,,
1932,193171,Blake Jast,Mr.,Male,1,Married,124,2021-07-02,2022-03-31 00:00:00,Inactive,2022-03-31 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1969,112.0,107.0,57995.0,,,,
1935,1795040,Dolores Kerluke,Mr.,Male,1,Single,31,2021-07-05,2022-03-29 00:00:00,Inactive,2022-03-29 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,2001,134.0,125.0,51417.5,,,,
1936,196139,Golda Bogan,Mr.,Male,1,Married,24,2021-07-01,2022-02-26 00:00:00,Inactive,2022-02-26 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Driver,1988,139.0,171.0,52312.5,,,,
1938,193168,Garrett Stiedemann,Mr.,Male,1,Married,124,2021-06-01,2022-06-04 00:00:00,Inactive,2022-06-04 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1978,229.0,220.0,83643.63636363637,,,,
1941,196141,Miss Melyssa Moore DVM,Mr.,Male,1,Single,31,2021-07-08,2022-02-23 00:00:00,Inactive,2022-02-23 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,2001,112.0,106.0,29689.93333333333,,,,
1947,179037,Daphne Harris,Ms.,Female,1,Single,125,2021-07-12,2021-12-31 00:00:00,Inactive,2021-12-31 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Data Colector,1998,45.0,37.0,15696.666666666666,,,,
1952,50037,Dahlia Mueller,Mr.,Male,1,Married,167,2021-04-01,2022-06-30 00:00:00,Inactive,2022-06-30 00:00:00,\N,\N,Management,Contarct Basis,Buddhist,IT Consultant,1993,0.0,2.0,0.0,,,,
1954,1795042,Shanel Kris DVM,Mr.,Male,1,Married,31,2021-07-14,2021-12-31 00:00:00,Inactive,2021-12-31 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1954,66.0,59.0,32254.166666666668,,,,
1955,179039,Yesenia Dickens Jr,Mr.,Male,1,Single,139,2021-07-15,2022-04-21 00:00:00,Inactive,2022-04-21 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Surveyor Helper,1995,110.0,128.0,27358.75,,,,
1957,5300,Zella Macejkovic,Ms.,Female,1,Single,112,2021-07-15,2022-11-30 00:00:00,Inactive,2022-11-30 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Data Entry Executive,1998,287.0,181.0,60385.335,,,,
1959,5302,Claud Nolan,Mr.,Male,1,Married,49,2021-07-14,\N,Active,\N,545,\N,Staff,Contarct Basis,Buddhist,Junior Technical Officer,1991,236.0,413.0,97425.87764705882,,,,
1960,5303,Dejah Prosacco,Mr.,Male,1,Married,24,2021-07-07,2021-10-01 00:00:00,Inactive,2021-10-01 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Driver,1975,25.0,30.0,67125.59000000001,,,,
1961,5304,Terrence Weimann,Mr.,Male,5,Single,89,2021-07-12,\N,Active,\N,\N,\N,Staff,Contarct Basis,Muslim,Planning Engineer,1994,251.0,320.0,229166.93666666665,14.0,9.0,2.0,21.0
1962,5305,Mrs Theresia Stokes DVM,Mr.,Male,1,Married,7,2021-07-16,2021-07-21 00:00:00,Inactive,2021-07-21 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Store Keeper,1979,2.0,3.0,0.0,,,,
1964,5307,Jamison Feest,Mr.,Male,1,Married,6,2021-07-16,\N,Active,\N,1964,\N,Staff,Contarct Basis,Buddhist,Project Manager,1986,191.0,365.0,616960.1988888889,3.0,3.0,1.0,5.0
1965,1795043,Samantha Wolff,Mr.,Male,1,Married,31,2021-07-19,2022-02-08 00:00:00,Inactive,2022-02-08 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1974,106.0,102.0,39656.25,,,,
1967,5309,Erling Upton,Mr.,Male,1,Married,7,2021-07-19,2021-07-21 00:00:00,Inactive,2021-07-21 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Store Keeper,1969,0.0,0.0,0.0,,,,
1969,5311,Elmira Gleason,Mr.,Male,1,Single,158,2021-07-20,2021-12-21 00:00:00,Inactive,2021-12-21 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Assistant QS,1994,94.0,96.0,57488.371666666666,,,,
1970,1795044,Isac Marvin Jr,Mr.,Male,1,Married,31,2021-07-19,2022-04-08 00:00:00,Inactive,2022-04-08 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1958,137.0,135.0,42635.0,,,,
1975,198121,Mariam Lindgren,Mr.,Male,1,Married,31,2021-07-01,2022-06-10 00:00:00,Inactive,2022-06-10 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1978,212.0,242.0,76115.5,,,,
1976,5312,Mr Rodrick Bartell,Mr.,Male,1,Single,49,2021-07-26,2021-12-04 00:00:00,Inactive,2021-12-04 00:00:00,545,\N,Staff,Contarct Basis,Buddhist,Junior Technical Officer,1996,85.0,109.0,78285.17199999999,,,,
1985,5315,Stephania Conn,Mr.,Male,3,Single,36,2021-07-28,2021-12-07 00:00:00,Inactive,2021-12-07 00:00:00,\N,\N,Staff,Contarct Basis,Hindu,Engineer Assistant,1994,107.0,125.0,119694.892,,,,
1987,1795049,Arlie Ruecker Sr,Mr.,Male,1,Married,31,2021-07-30,2021-12-31 00:00:00,Inactive,2021-12-31 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1970,90.0,87.0,40443.333333333336,,,,
1988,189065,Dr Nadia Tillman IV,Mr.,Male,1,Married,43,2021-07-29,2022-02-21 00:00:00,Inactive,2022-02-21 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Operator - JCB,1994,134.0,138.0,96446.18666666666,,,,
1993,1795050,Mrs Shaniya Swaniawski,Mr.,Male,5,Married,124,2021-08-02,2021-12-31 00:00:00,Inactive,2021-12-31 00:00:00,\N,\N,Labour,Contarct Basis,Muslim,Mason,1980,93.0,90.0,80649.0,,,,
1996,179040,Dianna Quigley,Ms.,Female,1,Single,125,2021-07-30,2022-05-09 00:00:00,Inactive,2022-05-09 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Data Colector,1995,99.0,106.0,25860.0,,,,
1998,179041,Alfredo Pfeffer,Ms.,Female,1,Single,125,2021-08-02,2022-04-22 00:00:00,Inactive,2022-04-22 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Data Colector,1995,129.0,103.0,27357.5,,,,
2000,5317,Mable Langworth,Mr.,Male,1,Married,78,2021-08-02,2021-12-09 00:00:00,Inactive,2021-12-09 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Assistant Accountant,1987,26.0,84.0,156865.322,,,,
2001,5318,Marianne Hessel,Mr.,Male,1,Single,33,2021-08-02,2021-08-03 00:00:00,Inactive,2021-08-03 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Site Engineer,1993,2.0,2.0,0.0,,,,
2002,5319,Gerry Kshlerin,Mr.,Male,1,Single,36,2021-08-02,2022-01-21 00:00:00,Inactive,2022-01-21 00:00:00,545,\N,Staff,Contarct Basis,Buddhist,Engineer Assistant,1991,104.0,114.0,135212.176,,,,
2006,201001,Berta Davis,Mr.,Male,1,Married,31,2021-07-30,2022-11-15 00:00:00,Inactive,2022-11-15 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1969,344.0,375.0,69222.65533333334,,,,
2007,1795051,Norene Sipes,Mr.,Male,1,Married,31,2021-08-03,2022-04-30 00:00:00,Inactive,2022-04-30 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1971,185.0,181.0,61880.0,,,,
2009,5320,Jeffry Hansen,Mr.,Male,1,Single,54,2021-07-28,2021-11-11 00:00:00,Inactive,2021-11-11 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Lab Technician,1991,66.0,91.0,89776.0075,,,,
2010,5321,Malinda Ritchie,Mr.,Male,1,Single,36,2021-08-05,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Engineer Assistant,1995,172.0,415.0,151388.013125,,,,
2013,201005,Dr Neal Zemlak,Ms.,Female,1,Married,25,2021-08-02,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Document Controller,1987,185.0,404.0,73669.525,,,,
2016,201008,Edison Mills,Mr.,Male,3,Single,31,2021-08-08,2022-02-25 00:00:00,Inactive,2022-02-25 00:00:00,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,1997,179.0,181.0,93642.7,,,,
2017,5322,Ms Rowena Mayert IV,Mr.,Male,1,Married,6,2021-08-09,\N,Active,\N,2017,\N,Staff,Contarct Basis,Buddhist,Project Manager,1967,278.0,390.0,704306.6006666666,,,,
